stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
999999,12839,1948,05,09,77.0,24,70.8,24,1017.0,24,1016.6,24,9.6,24,9.9,24,17.1,999.9,84.0,*,70.0,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,05,10,74.1,24,69.4,24,1016.5,24,1016.1,24,9.2,24,8.4,24,15.0,999.9,80.1,*,69.1,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,05,11,75.4,24,68.6,24,1013.6,24,1013.2,24,10.5,24,8.5,24,22.9,999.9,87.1,*,68.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,05,12,74.1,24,69.2,24,1016.6,24,1016.3,24,10.0,24,7.9,24,15.9,999.9,79.0,*,70.0,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,05,13,75.1,24,68.2,24,1018.1,24,1017.7,24,11.3,24,7.0,24,14.0,999.9,86.0,*,64.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,14,77.2,24,69.2,24,1017.4,24,1017.0,24,10.6,24,5.7,24,13.0,999.9,86.0,*,68.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,15,78.7,24,69.6,24,1016.8,24,1016.4,24,11.5,24,5.5,24,15.9,999.9,84.9,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,16,78.5,24,68.6,23,1017.8,24,1017.4,24,11.7,24,7.2,24,15.0,999.9,86.0,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,17,80.4,24,69.9,24,1016.3,24,1015.8,24,11.9,24,10.6,24,15.9,999.9,84.9,*,75.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,05,18,78.6,24,71.4,24,1015.7,24,1015.3,24,10.6,24,5.0,24,11.1,999.9,84.9,*,71.1,*,99.99,,999.9,0,1,0,0,1,0
999999,12839,1948,05,19,76.5,24,72.0,24,1014.6,24,1014.2,24,9.6,24,5.0,24,26.0,999.9,84.0,*,70.0,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,05,20,74.4,24,66.9,24,1014.5,24,1014.1,24,9.4,24,8.1,24,15.9,999.9,82.0,*,66.9,*,99.99,,999.9,1,1,0,0,0,0
